Frame         Time          Elec          VdW           Nonbond       Total         
0             0             +0            +0            +0            +0            
1             1             -0.0106       -0            -0.0106       -0.0106       
2             2             -0.0038       -0.0002       -0.004        -0.004        
3             3             -0.1629       -0.0011       -0.164        -0.164        
4             4             -0.1112       -0.0018       -0.113        -0.113        
5             5             -0.2952       -0.0002       -0.2954       -0.2954       
6             6             -0.0069       -0            -0.0069       -0.0069       
7             7             +0            +0            +0            +0            
8             8             +0.0841       -0.0013       +0.0828       +0.0828       
9             9             -0.0252       -0            -0.0252       -0.0252       
10            10            +0            +0            +0            +0            
11            11            +0            +0            +0            +0            
12            12            -0.0011       -0            -0.0011       -0.0011       
13            13            +0            +0            +0            +0            
14            14            +0            +0            +0            +0            
15            15            +0            +0            +0            +0            
16            16            +0            +0            +0            +0            
17            17            +0            +0            +0            +0            
18            18            +0            +0            +0            +0            
19            19            +0            +0            +0            +0            
20            20            +0            +0            +0            +0            
21            21            +0            +0            +0            +0            
22            22            +0            +0            +0            +0            
23            23            +0            +0            +0            +0            
24            24            +0            +0            +0            +0            
25            25            +0            +0            +0            +0            
26            26            +0            +0            +0            +0            
27            27            +0            +0            +0            +0            
28            28            +0            +0            +0            +0            
29            29            +0            +0            +0            +0            
30            30            +0            +0            +0            +0            
31            31            +0            +0            +0            +0            
32            32            +0            +0            +0            +0            
33            33            +0            +0            +0            +0            
34            34            +0            +0            +0            +0            
35            35            +0            +0            +0            +0            
36            36            +0            +0            +0            +0            
37            37            +0            +0            +0            +0            
38            38            +0            +0            +0            +0            
39            39            +0            +0            +0            +0            
40            40            +0            +0            +0            +0            
41            41            +0            +0            +0            +0            
42            42            +0            +0            +0            +0            
43            43            +0            +0            +0            +0            
44            44            +0            +0            +0            +0            
45            45            +0            +0            +0            +0            
46            46            +0            +0            +0            +0            
47            47            +0            +0            +0            +0            
48            48            +0            +0            +0            +0            
49            49            +0            +0            +0            +0            
50            50            +0            +0            +0            +0            
51            51            +0            +0            +0            +0            
52            52            +0            +0            +0            +0            
53            53            -0.0297       -0            -0.0297       -0.0297       
54            54            +0            +0            +0            +0            
55            55            +0            +0            +0            +0            
56            56            -0.0041       -0            -0.0041       -0.0041       
57            57            -0.0111       -0            -0.0111       -0.0111       
58            58            +0            +0            +0            +0            
59            59            +0            +0            +0            +0            
60            60            +0            +0            +0            +0            
61            61            -0.0038       -0            -0.0038       -0.0038       
62            62            -0.0021       -0            -0.0021       -0.0021       
63            63            +0            +0            +0            +0            
64            64            +0            +0            +0            +0            
65            65            -0.0003       -0            -0.0003       -0.0003       
66            66            +0            +0            +0            +0            
67            67            +0            +0            +0            +0            
68            68            +0            +0            +0            +0            
69            69            +0            +0            +0            +0            
70            70            +0            +0            +0            +0            
71            71            +0            +0            +0            +0            
72            72            +0            +0            +0            +0            
73            73            +0            +0            +0            +0            
74            74            +0            +0            +0            +0            
75            75            +0            +0            +0            +0            
76            76            +0            +0            +0            +0            
77            77            +0            +0            +0            +0            
78            78            +0            +0            +0            +0            
79            79            +0            +0            +0            +0            
80            80            +0            +0            +0            +0            
81            81            +0            +0            +0            +0            
82            82            +0            +0            +0            +0            
83            83            +0            +0            +0            +0            
84            84            +0            +0            +0            +0            
85            85            +0            +0            +0            +0            
86            86            +0            +0            +0            +0            
87            87            +0.0386       -0.0001       +0.0385       +0.0385       
88            88            -0.0652       -0.0003       -0.0655       -0.0655       
89            89            +0            +0            +0            +0            
